title;url
VR-02-017-2;https://antraege.gruene.de/51bdk/keine-erstattung-homoopathischer-leistungen-durch-gesetzliche-krankenk-57811/24183
VR-02-018;https://antraege.gruene.de/51bdk/keine-erstattung-homoopathischer-leistungen-durch-gesetzliche-krankenk-57811/24400
VR-02-026;https://antraege.gruene.de/51bdk/keine-erstattung-homoopathischer-leistungen-durch-gesetzliche-krankenk-57811/24094
VR-02-026-2;https://antraege.gruene.de/51bdk/keine-erstattung-homoopathischer-leistungen-durch-gesetzliche-krankenk-57811/23732
VR-02-030;https://antraege.gruene.de/51bdk/keine-erstattung-homoopathischer-leistungen-durch-gesetzliche-krankenk-57811/24095
VR-03-033;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24239
VR-03-037;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24547
VR-03-043;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24469
VR-03-045;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24245
VR-03-057;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24246
VR-03-074;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24386
VR-03-080;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24208
VR-03-128;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24470
VR-03-134;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24326
VR-03-137;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24073
VR-03-155;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/23769
VR-03-155-2;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24471
VR-03-165;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24109
VR-03-168;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24247
VR-03-170;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24389
VR-03-176;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24327
VR-03-191;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24250
VR-03-194;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/23699
VR-03-196;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/23702
VR-03-196-2;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/23773
VR-03-196-3;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24041
VR-03-196-4;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24039
VR-03-196-5;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24113
VR-03-196-6;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24105
VR-03-199;https://antraege.gruene.de/51bdk/digitale-souveranitat-starken-unsere-unabhangigkeit-freiheit-und-dem-49551/24037
VR-04-001;https://antraege.gruene.de/51bdk/chatkontrolle-dauerhaft-verhindern-verschlusselung-als-europaisches-g-44742/24396
VR-04-009;https://antraege.gruene.de/51bdk/chatkontrolle-dauerhaft-verhindern-verschlusselung-als-europaisches-g-44742/23823
VR-05-001;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/24554
VR-05-003;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23861
VR-05-010;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/24063
VR-05-021;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23926
VR-05-024;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23762
VR-05-029;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23763
VR-05-032;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23754
VR-05-035;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23925
VR-05-038;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23869
VR-05-040;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/24098
VR-05-040-2;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23863
VR-05-042;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/24120
VR-05-055;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/24092
VR-05-064;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23765
VR-05-066;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23766
VR-05-067;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23920
VR-05-070;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/24127
VR-05-072;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23909
VR-05-076;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23758
VR-05-078;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23874
VR-05-078-2;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23687
VR-05-078-3;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23688
VR-05-079;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/23759
VR-05-079-2;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/24023
VR-05-079-3;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/24440
VR-05-079-4;https://antraege.gruene.de/51bdk/zukunft-sichern-okologisch-gerecht-wettbewerbsfahig-22752/24020
